year,area,pwd_inc,npwd_inc,avg_inc
2015,Midwest,23830.298940566383,38644.75381635442,36048.51584640481
2016,Midwest,24284.081939008563,39888.45316443158,37137.609234076444
2017,Midwest,24755.01158305088,40959.2066614315,38157.086160951585
2018,Midwest,25262.975340024102,42427.29391847649,39465.17501227767
2019,Midwest,27082.70143568415,44832.85908455346,41752.35349691846
2015,Northeast,25459.954031061166,46067.40494658276,42771.10737465503
2016,Northeast,26100.39889008664,47466.80916394937,44058.56686380986
2017,Northeast,26979.801651573784,49457.15693002824,45887.88907377063
2018,Northeast,27416.248111802564,51043.98572982024,47333.70770473969
2019,Northeast,29256.69838292961,54957.26251571615,50897.32542606044
2015,South,24197.24853681393,39387.664018491094,36605.41591604246
2016,South,24826.85202525712,40550.857059805974,37639.768310487554
2017,South,25275.50407949441,41734.05983414145,38756.457712290525
2018,South,26206.386284278185,43464.20914615655,40373.46612071592
2019,South,28041.9476320952,46083.87432776711,42811.913674529285
2015,West,26478.9772328502,41947.65636146744,39538.15138384375
2016,West,27036.76628208736,43720.643032921624,41096.326996596654
2017,West,27832.826056441307,45470.94237614256,42747.72203506059
2018,West,29030.972430660353,47855.99381697026,44969.903644466285
2019,West,31265.518315393118,51352.130379723334,48266.85565834017
