id,state,year,rate
01,Alabama,2015,40038
02,Alaska,2015,5147
04,Arizona,2015,54722
05,Arkansas,2015,24541
06,California,2015,309636
08,Colorado,2015,43994
09,Connecticut,2015,30183
10,Delaware,2015,7575
11,District of Columbia,2015,5723
12,Florida,2015,166315
13,Georgia,2015,80276
15,Hawaii,2015,11754
16,Idaho,2015,12545
17,Illinois,2015,104728
18,Indiana,2015,54365
19,Iowa,2015,26365
20,Kansas,2015,23563
21,Kentucky,2015,37158
22,Louisiana,2015,36560
23,Maine,2015,11306
24,Maryland,2015,49272
25,Massachusetts,2015,58522
26,Michigan,2015,82117
27,Minnesota,2015,45251
28,Mississippi,2015,24410
29,Missouri,2015,51088
30,Montana,2015,8228
31,Nebraska,2015,15528
32,Nevada,2015,22260
33,New Hampshire,2015,11549
34,New Jersey,2015,72894
35,New Mexico,2015,15674
36,New York,2015,164251
37,North Carolina,2015,81951
38,North Dakota,2015,6371
39,Ohio,2015,98108
40,Oklahoma,2015,30108
41,Oregon,2015,33616
42,Pennsylvania,2015,108573
44,Rhode Island,2015,9046
45,South Carolina,2015,40566
46,South Dakota,2015,7030
47,Tennessee,2015,54644
48,Texas,2015,208917
49,Utah,2015,22232
50,Vermont,2015,5454
51,Virginia,2015,69546
53,Washington,2015,59181
54,West Virginia,2015,15368
55,Wisconsin,2015,48863
56,Wyoming,2015,4728
01,Alabama,2016,40062
02,Alaska,2016,5223
04,Arizona,2016,56265
05,Arkansas,2016,24474
06,California,2016,311169
08,Colorado,2016,45008
09,Connecticut,2016,30327
10,Delaware,2016,7614
11,District of Columbia,2016,5772
12,Florida,2016,168825
13,Georgia,2016,80784
15,Hawaii,2016,11889
16,Idaho,2016,12630
17,Illinois,2016,104932
18,Indiana,2016,54743
19,Iowa,2016,26432
20,Kansas,2016,23394
21,Kentucky,2016,37020
22,Louisiana,2016,36367
23,Maine,2016,10714
24,Maryland,2016,49611
25,Massachusetts,2016,58822
26,Michigan,2016,82682
27,Minnesota,2016,44503
28,Mississippi,2016,23931
29,Missouri,2016,51334
30,Montana,2016,8386
31,Nebraska,2016,15466
32,Nevada,2016,22617
33,New Hampshire,2016,11513
34,New Jersey,2016,72922
35,New Mexico,2016,15730
36,New York,2016,164873
37,North Carolina,2016,82935
38,North Dakota,2016,6439
39,Ohio,2016,98120
40,Oklahoma,2016,29950
41,Oregon,2016,33926
42,Pennsylvania,2016,107433
44,Rhode Island,2016,8942
45,South Carolina,2016,40789
46,South Dakota,2016,6931
47,Tennessee,2016,54973
48,Texas,2016,211577
49,Utah,2016,22452
50,Vermont,2016,5516
51,Virginia,2016,69625
53,Washington,2016,59976
54,West Virginia,2016,15157
55,Wisconsin,2016,48827
56,Wyoming,2016,4717
01,Alabama,2017,40102
02,Alaska,2017,5160
04,Arizona,2017,56902
